RED- BR,Znanstveno ime,Hrvatsko ime,Englesko ime,Nazočnost,Redovitost,Gnjezdarica,Preletnica,Zimovalica,Status ugroženosti gnijezdeće populacije,Kriterij ugroženosti (GN),Status ugroženosti na globalnoj razini,Bern,Bonn ,EU dir
238,Dendrocopos minor,mali djetlić,Lesser Spotted Woodpecker,A,R,B, -, -,LC,-,LC,II,,
239,Dendrocopos medius,crvenoglavi djetlić,Middle Spotted Woodpecker,A,R,B, -, -,LC,-,LC,II,,I
240,Dendrocopos leucotos,planinski djetlić,White-backed Woodpecker,A,R,B, -, -,LC,-,LC,II,,I
241,Dendrocopos major,veliki djetlić,Great Spotted Woodpecker,A,R,B, -, -,LC,-,LC,II,,
242,Dendrocopos syriacus,sirijski djetlić,Syrian Woodpecker,A,R,B, -, -,LC,-,LC,II,,I
243,Picoides tridactylus,troprsti djetlić,Eurasian Three-toed Woodpecker,A,R,B, -, -,NT,-,LC,II,,I
244,Dryocopus martius,crna žuna,Black Woodpecker,A,R,B, -, -,LC,-,LC,II,,I
245,Picus viridis,zelena žuna,Eurasian Green Woodpecker,A,R,B, -, -,LC,-,LC,II,,
246,Picus canus,siva žuna,Grey-faced Woodpecker,A,R,B, -, -,LC,-,LC,II,,I
247,Melanocorypha calandra,velika ševa,Calandra Lark,A,R,B, -, -,VU,D1,LC,II,,I
248,Calandrella brachydactyla,kratkoprsta ševa,Greater Short-toed Lark,A,R,B, -, -,VU,D1,LC,II,,I
249,Eremophila alpestris,planinska ševa,Horned Lark,A,R,B, -, -,CR,B1b(iii)c(iv); D,LC,II,,
250,Galerida cristata,kukmasta ševa,Crested Lark,A,R,B, -, -,LC,-,LC,lll,,
251,Alauda arvensis,poljska ševa,Eurasian Skylark,A,R,B,M,W,LC,-,LC,lll,,II-B 
252,Lullula arborea,ševa krunica,Wood Lark,A,R,B,M,W,LC,-,LC,lll,,I
253,Riparia riparia,bregunica,Sand Martin,A,R,B,M, -,VU,A2a,LC,II,,
254,Hirundo rustica,lastavica,Barn Swallow,A,R,B,M, -,LC,-,LC,II,,
255,Hirundo rupestris,hridna lastavica,Eurasian Crag-martin,A,R,B, -, -,LC,-,LC,II,,
256,Delichon urbicum,piljak,Northern House-martin,A,R,B,M, -,LC,-,LC,II,,
257,Hirundo daurica,daurska lastavica,Red-rumped Swallow,A,R,B, -, -,LC*,-,LC,II,,
258,Anthus richardi,velika trepteljka,Richard's Pipit,A,Rare, -, -, -, -,,LC,,,
259,Anthus campestris,primorska trepteljka,Tawny Pipit,A,R,B,M, -,LC,-,LC,II,,I
260,Anthus pratensis,livadna trepteljka,Meadow Pipit,A,R, -,M,W, -,,LC,II,,
